,0,1,2,3,4,5,6,7
0,ME,1,ROCK,PAPER,COM,,,1
0,ME,2,ROCK,PAPER,COM,ROCK,PAPER,1
0,ME,3,PAPER,ROCK,PLAYER,ROCK,PAPER,0
0,ME,4,SCISSORS,SCISSORS,,PAPER,ROCK,0
0,ME,5,SCISSORS,ROCK,COM,SCISSORS,SCISSORS,1
0,ME,6,ROCK,PAPER,COM,SCISSORS,ROCK,1
0,ME,7,SCISSORS,SCISSORS,,ROCK,PAPER,0
0,ME,8,PAPER,ROCK,PLAYER,SCISSORS,SCISSORS,0
0,ME,9,SCISSORS,SCISSORS,,PAPER,ROCK,0
0,ME,10,PAPER,SCISSORS,COM,SCISSORS,SCISSORS,1
0,ME,11,SCISSORS,ROCK,COM,PAPER,SCISSORS,1
0,ME,12,SCISSORS,SCISSORS,,SCISSORS,ROCK,0
0,ME,13,ROCK,SCISSORS,PLAYER,SCISSORS,SCISSORS,0
0,ME,14,ROCK,ROCK,,ROCK,SCISSORS,0
0,ME,15,SCISSORS,ROCK,COM,ROCK,ROCK,1
0,ME,16,ROCK,PAPER,COM,SCISSORS,ROCK,1
0,ME,17,ROCK,ROCK,,ROCK,PAPER,0
0,ME,18,PAPER,ROCK,PLAYER,ROCK,ROCK,0
0,ME,19,PAPER,ROCK,PLAYER,PAPER,ROCK,0
0,ME,20,PAPER,ROCK,PLAYER,PAPER,ROCK,0
0,ME,21,SCISSORS,ROCK,COM,PAPER,ROCK,1
0,ME,22,PAPER,PAPER,,SCISSORS,ROCK,0
0,ME,23,PAPER,PAPER,,PAPER,PAPER,0
0,ME,24,SCISSORS,PAPER,PLAYER,PAPER,PAPER,0
0,ME,25,PAPER,ROCK,PLAYER,SCISSORS,PAPER,0
0,ME,26,SCISSORS,PAPER,PLAYER,PAPER,ROCK,0
0,ME,27,PAPER,ROCK,PLAYER,SCISSORS,PAPER,0
0,ME,28,SCISSORS,PAPER,PLAYER,PAPER,ROCK,0
0,ME,29,PAPER,ROCK,PLAYER,SCISSORS,PAPER,0
0,ME,30,SCISSORS,ROCK,COM,PAPER,ROCK,1
0,ME,31,PAPER,PAPER,,SCISSORS,ROCK,0
0,ME,32,PAPER,SCISSORS,COM,PAPER,PAPER,1
0,ME,33,ROCK,SCISSORS,PLAYER,PAPER,SCISSORS,0
0,ME,34,PAPER,ROCK,PLAYER,ROCK,SCISSORS,0
0,ME,35,SCISSORS,ROCK,COM,PAPER,ROCK,1
0,ME,36,SCISSORS,ROCK,COM,SCISSORS,ROCK,1
0,ME,37,PAPER,ROCK,PLAYER,SCISSORS,ROCK,0
0,ME,38,PAPER,ROCK,PLAYER,PAPER,ROCK,0
0,ME,39,PAPER,PAPER,,PAPER,ROCK,0
0,ME,40,SCISSORS,PAPER,PLAYER,PAPER,PAPER,0
0,ME,41,PAPER,SCISSORS,COM,SCISSORS,PAPER,1
0,ME,42,SCISSORS,PAPER,PLAYER,PAPER,SCISSORS,0
0,ME,43,PAPER,PAPER,,SCISSORS,PAPER,0
0,ME,44,SCISSORS,PAPER,PLAYER,PAPER,PAPER,0
0,ME,45,PAPER,SCISSORS,COM,SCISSORS,PAPER,1
0,ME,46,PAPER,SCISSORS,COM,PAPER,SCISSORS,1
0,ME,47,SCISSORS,SCISSORS,,PAPER,SCISSORS,0
0,ME,48,PAPER,ROCK,PLAYER,SCISSORS,SCISSORS,0
0,ME,49,SCISSORS,PAPER,PLAYER,PAPER,ROCK,0
0,ME,50,PAPER,PAPER,,SCISSORS,PAPER,0
0,ME,51,SCISSORS,SCISSORS,,PAPER,PAPER,0
0,ME,52,PAPER,PAPER,,SCISSORS,SCISSORS,0
0,ME,53,PAPER,SCISSORS,COM,PAPER,PAPER,1
0,ME,54,SCISSORS,SCISSORS,,PAPER,SCISSORS,0
0,ME,55,PAPER,ROCK,PLAYER,SCISSORS,SCISSORS,0
0,ME,56,SCISSORS,PAPER,PLAYER,PAPER,ROCK,0
0,ME,57,ROCK,PAPER,COM,SCISSORS,PAPER,1
0,ME,58,ROCK,PAPER,COM,ROCK,PAPER,1
0,ME,59,ROCK,ROCK,,ROCK,PAPER,0
0,ME,60,PAPER,ROCK,PLAYER,ROCK,ROCK,0
0,ME,61,SCISSORS,ROCK,COM,PAPER,ROCK,1
0,ME,62,PAPER,PAPER,,SCISSORS,ROCK,0
0,ME,63,PAPER,PAPER,,PAPER,PAPER,0
0,ME,64,PAPER,ROCK,PLAYER,PAPER,PAPER,0
0,ME,65,ROCK,SCISSORS,PLAYER,PAPER,ROCK,0
0,ME,66,ROCK,SCISSORS,PLAYER,ROCK,SCISSORS,0
0,ME,67,PAPER,SCISSORS,COM,ROCK,SCISSORS,1
0,ME,68,SCISSORS,ROCK,COM,PAPER,SCISSORS,1
0,ME,69,PAPER,ROCK,PLAYER,SCISSORS,ROCK,0
0,ME,70,SCISSORS,ROCK,COM,PAPER,ROCK,1
0,ME,71,PAPER,ROCK,PLAYER,SCISSORS,ROCK,0
0,ME,72,SCISSORS,PAPER,PLAYER,PAPER,ROCK,0
0,ME,73,PAPER,ROCK,PLAYER,SCISSORS,PAPER,0
0,ME,74,SCISSORS,SCISSORS,,PAPER,ROCK,0
0,ME,75,PAPER,PAPER,,SCISSORS,SCISSORS,0
0,ME,76,PAPER,SCISSORS,COM,PAPER,PAPER,1
0,ME,77,ROCK,PAPER,COM,PAPER,SCISSORS,1
0,ME,78,ROCK,PAPER,COM,ROCK,PAPER,1
0,ME,79,PAPER,PAPER,,ROCK,PAPER,0
0,ME,80,PAPER,PAPER,,PAPER,PAPER,0
0,ME,81,SCISSORS,ROCK,COM,PAPER,PAPER,1
0,ME,82,ROCK,SCISSORS,PLAYER,SCISSORS,ROCK,0
0,ME,83,ROCK,SCISSORS,PLAYER,ROCK,SCISSORS,0
0,ME,84,PAPER,PAPER,,ROCK,SCISSORS,0
0,ME,85,PAPER,PAPER,,PAPER,PAPER,0
0,ME,86,SCISSORS,PAPER,PLAYER,PAPER,PAPER,0
0,ME,87,ROCK,SCISSORS,PLAYER,SCISSORS,PAPER,0
0,ME,88,ROCK,SCISSORS,PLAYER,ROCK,SCISSORS,0
0,ME,89,PAPER,SCISSORS,COM,ROCK,SCISSORS,1
0,ME,90,PAPER,SCISSORS,COM,PAPER,SCISSORS,1
0,ME,91,ROCK,PAPER,COM,PAPER,SCISSORS,1
0,ME,92,ROCK,ROCK,,ROCK,PAPER,0
0,ME,93,SCISSORS,SCISSORS,,ROCK,ROCK,0
0,ME,94,SCISSORS,SCISSORS,,SCISSORS,SCISSORS,0
0,ME,95,PAPER,PAPER,,SCISSORS,SCISSORS,0
0,ME,96,ROCK,PAPER,COM,PAPER,PAPER,1
0,ME,97,PAPER,PAPER,,ROCK,PAPER,0
0,ME,98,PAPER,PAPER,,PAPER,PAPER,0
0,ME,99,PAPER,SCISSORS,COM,PAPER,PAPER,1
0,ME,100,ROCK,PAPER,COM,PAPER,SCISSORS,1
0,ME,101,ROCK,ROCK,,ROCK,PAPER,0
